applied_displacement applied_load D_zmin[0] D_zmin[1] D_zmin[2] D_zmin.two_norm() D_zmax[0] D_zmax[1] D_zmax[2] D_zmax.two_norm() Max_F_FT Max_F_FC Max_F_MT Max_F_MC furtado_tension_fibre furtado_compression_fibre furtado_tension_matrix furtado_compression_matrix max_von_mises max_damage_cohesive max_predamage_cohesive Strain_zmidTop Strain_zmidBot time_per_increment tot_iteration time_coarse_space time_post_processing coarse_space_size D_xmin[0] D_xmin[1] D_xmin[2] D_xmin.two_norm() D_xmax[0] D_xmax[1] D_xmax[2] D_xmax.two_norm() Max_Tau Max_F_33 Max_F_CZ Displacement_DIC[0] Displacement_DIC[1] Displacement_DIC[2] Displacement_DIC.two_norm() 
-0.1 9749.82 0.011723 1.84704e-05 -0.032737 0.0347727 0.012048 0.000148958 -0.133894 0.134435 7.70764e-05 0.000281136 8.52047e-05 5.66216e-05 0.00603144 0.0172784 0.0674404 0.00602197 39.987 0 0 -0.000306468 -0.000179905 333.471 6 262.865 0.0674008 9600 0.0642454 0.000144367 0.0439295 0.0778287 0.0641659 6.71339e-05 0.0439438 0.0777709 0.300683 0.00775325 0.00430632 0.00719983 7.39926e-05 0.0744949 0.0748421 
-0.2 19486.8 0.0216446 2.25236e-05 -0.0651602 0.0686611 0.0215841 0.000180968 -0.268083 0.268951 0.000311035 0.00112337 0.000345304 0.000237396 0.0120871 0.0345275 0.0960408 0.0120993 79.9234 0 0 -0.000614975 -0.000354776 326.052 5 265.674 0.049202 9600 0.133006 0.000236874 0.0878582 0.159405 0.132848 6.69051e-05 0.0878862 0.159288 0.433571 0.0156666 0.00596836 0.0129817 6.68321e-05 0.149142 0.149706 
-0.3 29204.2 0.029397 0.000121685 -0.0972973 0.101641 0.0296271 0.000317638 -0.402579 0.403668 0.00070697 0.00253628 0.000785871 0.000520618 0.0181651 0.0517884 0.118335 0.0182239 119.906 0 0 -0.000925428 -0.000524221 336.256 5 277.707 0.0511469 9600 0.206351 0.000414611 0.13179 0.244846 0.206114 0.000174732 0.131834 0.24467 0.574358 0.023697 0.00797238 0.0178878 0.000131407 0.223943 0.224656 
-0.4 38915.6 0.0363259 -9.04864e-05 -0.129224 0.134233 0.0362103 0.000327898 -0.53735 0.538569 0.0012694 0.00453346 0.00141415 0.000947516 0.0242597 0.0690618 0.137495 0.024404 159.936 0 0 -0.00123759 -0.000687902 334.825 5 272.521 0.0462087 9600 0.28389 0.000445111 0.175731 0.333878 0.283576 9.91972e-05 0.17579 0.333642 0.737014 0.0318687 0.0103084 0.021963 0.000111335 0.298885 0.299691 
-0.5 48603.7 0.0393208 4.6756e-05 -0.160638 0.165381 0.0393468 0.000508447 -0.672598 0.673748 0.00200388 0.00711114 0.00223749 0.00151292 0.0303647 0.0862749 0.154699 0.0306511 199.848 0 0 -0.00155273 -0.000845246 343.615 5 282.242 0.0483847 9600 0.368124 0.000662846 0.219664 0.428681 0.367733 0.00024622 0.219741 0.428385 0.904963 0.0401876 0.0127156 0.0240416 0.0001989 0.374061 0.374833 
-0.6 58265.8 0.0391028 0.000823783 -0.191593 0.195544 0.0399869 0.00097685 -0.808289 0.809278 0.00291815 0.010301 0.00326407 0.00219786 0.0366165 0.103538 0.170541 0.0369698 240.368 0 0 -0.00187064 -0.000995797 330.632 5 273.405 0.046204 9600 0.458815 0.0012583 0.263594 0.529146 0.458349 0.000892721 0.263691 0.528789 1.08283 0.0486439 0.0152196 0.0246516 0.000487608 0.449462 0.450138 
-0.7 67919.6 0.0389215 -0.000341413 -0.222262 0.225644 0.0388291 0.000554922 -0.94431 0.945108 0.00400905 0.0140698 0.00450266 0.00287781 0.043009 0.120924 0.185409 0.0433563 280.913 0 0 -0.00219033 -0.00113913 340.508 5 282.18 0.046782 9600 0.554451 0.000745567 0.307532 0.634028 0.55391 0.000134771 0.307645 0.63361 1.26869 0.0572554 0.0178472 0.024289 0.000171133 0.525029 0.52559 
-0.8 77543.5 0.0324443 -0.000382508 -0.252177 0.254256 0.0323649 0.000657044 -1.08107 1.08155 0.00529246 0.0184422 0.00596084 0.00383332 0.0494747 0.138521 0.199487 0.0498345 321.607 0 0 -0.00251424 -0.00127424 325.643 5 266.504 0.0479201 9600 0.659901 0.00088455 0.351464 0.747661 0.659286 0.000190958 0.351598 0.747181 1.4721 0.0660103 0.0207429 0.0208206 0.00020656 0.600956 0.601317 
-1.2 115705 -0.0479413 -0.00176258 -0.363754 0.366904 -0.0503079 0.000423818 -1.63624 1.63701 0.0124645 0.0418976 0.0142088 0.00899536 0.0762427 0.20932 0.250735 0.0769361 484.709 0 0 -0.00385208 -0.00171616 368.498 9 263.189 0.0480688 9600 1.18967 0.00215411 0.527178 1.30124 1.18878 0.00101366 0.527401 1.30052 2.66784 0.102498 0.0371503 0.0259014 0.000229141 0.908659 0.909028 
-1.6 153075 -0.326884 -0.00129703 -0.449203 0.555552 -0.326986 0.00144409 -2.21739 2.24137 0.0232171 0.0751134 0.0267995 0.0170427 0.104154 0.277908 0.297427 0.107229 650.088 0 0 -0.00530814 -0.0019204 361.123 8 265.849 0.0472483 9600 2.04276 0.00186985 0.702858 2.1603 2.04162 0.000460222 0.703219 2.15934 3.93156 0.14044 0.0548579 0.185258 0.000392157 1.22893 1.24282 
